,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kyle Lowry\lowryky01,39:25,.445,.344,.313,.438,0.0,5.8,2.7,16.8,0.0,0.0,23.9,26.3,82,108
DeMar DeRozan\derozde01,38:21,.508,.429,.036,.286,5.1,14.9,9.6,12.5,2.7,0.0,8.7,37.3,111,100
DeMarre Carroll\carrode01,36:22,.508,.429,.571,.286,5.4,12.6,8.7,8.2,2.8,5.6,0.0,9.0,137,96
Jonas Valanciunas\valanjo01,31:00,.333,.333,.000,.000,19.0,40.6,28.9,0.0,0.0,3.3,16.7,24.0,76,97
Pascal Siakam\siakapa01,14:55,.500,.500,.000,.000,19.7,0.0,10.6,0.0,3.4,0.0,33.3,16.7,83,102
Patrick Patterson\pattepa01,34:10,.417,.417,.833,.000,2.9,16.7,9.3,13.1,1.5,0.0,0.0,7.3,121,102
Cory Joseph\josepco01,20:43,.571,.571,.000,.000,0.0,5.5,2.5,9.0,2.5,0.0,30.0,20.0,84,103
Terrence Ross\rosste01,14:15,.000,.000,.500,.000,0.0,16.0,7.4,0.0,7.2,0.0,33.3,8.7,0,89
Jakob Poeltl\poeltja01,10:49,.643,.600,.000,.200,36.2,31.7,34.1,0.0,0.0,0.0,0.0,20.8,154,101
Fred VanVleet\vanvlfr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lucas Nogueira\noguelu01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Norman Powell\powelno01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bruno Caboclo\cabocbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.465,.411,.178,.200,36.7,78.6,56.0,34.3,9.6,6.4,15.5,100.0,96.9,100.1
