,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Lowry\lowryky01,39:25,5,16,.313,1,5,.200,6,7,.857,0,2,2,4,0,0,6,4,17,-9
DeMar DeRozan\derozde01,38:21,12,28,.429,0,1,.000,8,8,1.000,2,5,7,2,2,0,3,3,32,0
DeMarre Carroll\carrode01,36:22,2,7,.286,2,4,.500,2,2,1.000,2,4,6,2,2,2,0,4,8,-5
Jonas Valanciunas\valanjo01,31:00,5,15,.333,0,0,,0,0,,6,11,17,0,0,1,3,2,10,-11
Pascal Siakam\siakapa01,14:55,2,4,.500,0,0,,0,0,,3,0,3,0,1,0,2,3,4,-7
Patrick Patterson\pattepa01,34:10,2,6,.333,1,5,.200,0,0,,1,5,6,3,1,0,0,2,5,+2
Cory Joseph\josepco01,20:43,4,7,.571,0,0,,0,0,,0,1,1,1,1,0,3,0,8,+7
Terrence Ross\rosste01,14:15,0,2,.000,0,1,.000,0,0,,0,2,2,0,2,0,1,1,0,0
Jakob Poeltl\poeltja01,10:49,3,5,.600,0,0,,1,1,1.000,4,3,7,0,0,0,0,1,7,+8
Bruno Caboclo\cabocbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Norman Powell\powelno01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lucas Nogueira\noguelu01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Fred VanVleet\vanvlfr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,90,.389,4,16,.250,17,18,.944,18,33,51,12,9,3,18,20,91,
