,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kevin Durant\duranke01,39:06,.618,.474,.158,.632,0.0,40.1,21.3,22.4,2.3,3.1,7.6,27.5,125,96
Klay Thompson\thompkl01,38:57,.615,.571,.429,.190,0.0,4.7,2.5,16.2,1.1,0.0,4.2,25.0,121,110
Stephen Curry\curryst01,34:04,.554,.526,.526,.211,3.1,0.0,1.4,34.4,1.3,0.0,16.2,29.7,103,110
Draymond Green\greendr01,34:04,.368,.350,.200,.200,12.3,19.0,15.8,24.8,2.6,0.0,21.6,16.7,93,103
Zaza Pachulia\pachuza01,17:23,.727,.667,.000,.333,12.0,47.8,31.0,8.4,0.0,0.0,22.5,20.9,118,101
Andre Iguodala\iguodan01,30:05,.643,.643,.429,.000,0.0,6.1,3.3,12.7,1.5,0.0,0.0,9.5,135,108
Shaun Livingston\livinsh01,15:14,.667,.667,.000,.000,0.0,6.1,3.2,8.4,0.0,0.0,25.0,10.7,97,111
Patrick McCaw\mccawpa01,9:59,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.1,300,104
David West\westda01,8:43,.387,.333,.000,.667,12.0,0.0,5.6,0.0,0.0,0.0,20.5,22.9,75,112
Kevon Looney\looneke01,7:01,1.064,1.000,.000,2.000,14.9,26.3,20.9,36.8,0.0,0.0,0.0,11.0,224,105
Ian Clark\clarkia01,5:24,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0,113
JaVale McGee\mcgeeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anderson Varejao\varejan01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.590,.533,.308,.308,19.6,76.9,50.0,72.7,7.4,2.6,11.9,100.0,113.2,105.8
