,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis\davisan02,39:58,17,31,.548,1,2,.500,10,14,.714,6,11,17,3,2,2,1,2,45,-3
Tim Frazier\fraziti01,34:21,10,18,.556,1,3,.333,0,1,.000,3,3,6,10,0,0,3,5,21,+2
E'Twaun Moore\mooreet01,26:06,2,6,.333,0,2,.000,0,0,,0,3,3,3,3,0,2,3,4,+1
Solomon Hill\hillso01,24:04,1,4,.250,0,1,.000,1,2,.500,0,1,1,4,2,0,1,3,3,-4
Omer Asik\asikom01,7:46,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,0,2,-7
Dante Cunningham\cunnida01,32:01,6,11,.545,3,6,.500,0,0,,0,8,8,0,0,2,1,3,15,+9
Lance Stephenson\stephla01,30:52,6,11,.545,0,1,.000,3,4,.750,2,6,8,6,0,0,2,5,15,-8
Buddy Hield\hieldbu01,18:35,1,6,.167,0,2,.000,0,0,,0,1,1,1,0,1,2,1,2,-12
Langston Galloway\gallola01,13:39,0,7,.000,0,4,.000,0,0,,0,0,0,0,1,0,0,1,0,-10
Terrence Jones\joneste01,12:38,3,5,.600,0,1,.000,1,2,.500,1,1,2,2,0,0,0,1,7,-8
Alexis Ajinca\ajincal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cheick Diallo\diallch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jrue Holiday\holidjr01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,47,100,.470,5,22,.227,15,23,.652,12,37,49,29,8,5,13,24,114,
