,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Harrison Barnes\barneha02,38:50,.637,.609,.174,.130,2.9,15.0,8.2,6.5,1.3,0.0,3.9,31.4,124,117
Wesley Matthews\matthwe02,37:24,.412,.321,.571,.286,0.0,15.6,6.8,4.3,1.4,0.0,6.0,21.6,84,117
Deron Williams\willide01,34:02,.549,.500,.364,.364,0.0,0.0,0.0,20.2,1.5,0.0,19.0,22.3,98,119
J.J. Barea\bareajo01,29:09,.425,.350,.300,.400,3.9,20.0,11.0,27.4,1.8,0.0,0.0,19.5,108,115
Andrew Bogut\bogutan01,26:45,.500,.500,.000,.000,4.3,59.8,28.7,0.0,1.9,0.0,33.3,10.8,73,110
Seth Curry\curryse01,20:23,.621,.583,.667,.167,0.0,0.0,0.0,8.4,0.0,0.0,0.0,15.2,130,122
Justin Anderson\anderju01,20:10,.589,.500,.600,1.200,5.7,14.4,9.5,0.0,5.1,6.3,20.7,23.0,100,105
Dwight Powell\poweldw01,19:49,1.000,1.000,.000,.000,11.5,14.7,12.9,0.0,7.8,6.4,0.0,2.4,210,98
Quincy Acy\acyqu01,7:44,.300,.300,.600,.000,0.0,18.8,8.3,0.0,0.0,0.0,0.0,31.2,62,120
A.J. Hammons\hammoaj01,1:26,,,,,0.0,0.0,0.0,95.7,0.0,0.0,,0.0,223,123
Salah Mejri\mejrisa01,1:26,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,200,123
Nicolas Brussino\brussni01,1:26,1.136,,,,0.0,0.0,0.0,0.0,36.0,0.0,0.0,29.6,250,39
Dorian Finney-Smith\finnedo01,1:26,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123
Team Totals,240,.541,.488,.363,.300,14.3,84.8,45.3,37.1,11.8,5.3,9.0,100.0,105.3,113.9
