,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeremy Lin\linje01,34:27,6,12,.500,2,4,.500,7,8,.875,0,9,9,9,0,1,2,1,21,0
Bojan Bogdanovic\bogdabo02,28:10,1,6,.167,0,2,.000,2,2,1.000,0,1,1,0,0,1,0,4,4,+5
Trevor Booker\booketr01,26:55,5,11,.455,0,2,.000,0,0,,2,9,11,2,1,0,1,4,10,-10
Brook Lopez\lopezbr01,25:56,10,18,.556,0,4,.000,5,6,.833,3,2,5,1,1,0,5,1,25,+1
Rondae Hollis-Jefferson\holliro01,24:33,1,5,.200,0,2,.000,0,0,,2,3,5,2,1,0,1,2,2,-11
Justin Hamilton\hamilju01,28:21,3,8,.375,1,6,.167,1,1,1.000,2,5,7,1,0,1,1,3,8,+14
Sean Kilpatrick\kilpase01,25:22,7,11,.636,4,4,1.000,0,0,,1,4,5,1,1,0,2,1,18,+25
Joe Harris\harrijo01,17:55,2,7,.286,2,6,.333,0,0,,0,3,3,1,1,0,1,2,6,-1
Luis Scola\scolalu01,14:48,2,6,.333,0,2,.000,0,0,,2,3,5,1,1,0,2,2,4,+13
Greivis Vasquez\vasqugr01,13:33,1,3,.333,1,1,1.000,2,3,.667,0,1,1,2,0,1,1,3,5,+9
Chris McCullough\mcculch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anthony Bennett\bennean01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Whitehead\whiteis01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,87,.437,10,33,.303,17,20,.850,12,40,52,20,6,4,16,23,103,
