,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luol Deng\denglu01,34:03,5,12,.417,2,5,.400,0,0,,2,10,12,0,2,1,1,2,12,-16
D'Angelo Russell\russeda01,31:53,3,14,.214,1,5,.200,2,5,.400,2,3,5,5,2,0,4,3,9,-16
Julius Randle\randlju01,27:20,3,7,.429,1,1,1.000,0,0,,1,3,4,1,0,2,2,4,7,-8
Nick Young\youngni01,23:33,3,7,.429,1,2,.500,6,6,1.000,0,0,0,0,0,1,0,5,13,-12
Timofey Mozgov\mozgoti01,23:03,1,4,.250,0,0,,6,7,.857,1,5,6,1,1,2,1,5,8,-14
Lou Williams\willilo02,27:16,6,12,.500,3,4,.750,2,2,1.000,0,0,0,6,1,0,1,2,17,+8
Jordan Clarkson\clarkjo01,25:28,2,9,.222,0,3,.000,0,0,,0,2,2,0,0,1,3,2,4,-2
Larry Nance\nancela02,16:08,2,4,.500,1,2,.500,0,1,.000,0,3,3,0,0,0,0,2,5,+7
Marcelo Huertas\huertma01,15:03,2,6,.333,0,0,,0,0,,1,3,4,3,0,0,2,0,4,+12
Tarik Black\blackta01,10:08,4,6,.667,0,0,,0,0,,4,3,7,0,0,0,0,2,8,+5
Brandon Ingram\ingrabr01,4:11,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,+2
Thomas Robinson\robinth01,1:54,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
Metta World Peace\artesro01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,32,84,.381,9,23,.391,16,21,.762,11,32,43,16,6,7,14,29,89,
