,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
George Hill\hillge01,35:18,7,14,.500,2,7,.286,7,9,.778,0,3,3,3,0,1,1,4,23,+7
Rodney Hood\hoodro01,32:21,5,14,.357,2,8,.250,3,5,.600,0,6,6,1,1,0,1,4,15,+3
Rudy Gobert\goberru01,31:52,4,9,.444,0,0,,5,8,.625,6,7,13,1,0,4,1,2,13,+11
Joe Johnson\johnsjo02,31:50,4,11,.364,1,4,.250,2,2,1.000,2,5,7,2,0,0,1,1,11,+18
Boris Diaw\diawbo01,18:24,0,1,.000,0,0,,0,0,,1,2,3,2,0,0,1,1,0,+7
Shelvin Mack\macksh01,22:34,4,8,.500,0,1,.000,1,2,.500,0,4,4,1,1,0,1,2,9,+4
Dante Exum\exumda01,21:31,1,2,.500,0,1,.000,2,2,1.000,0,0,0,2,0,0,1,0,4,-3
Derrick Favors\favorde01,20:04,4,7,.571,0,0,,7,11,.636,4,4,8,2,2,2,5,3,15,+3
Trey Lyles\lylestr01,17:50,2,8,.250,1,4,.250,1,1,1.000,0,2,2,0,0,0,1,0,6,-16
Joe Ingles\inglejo01,8:16,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,+1
Raul Neto\netora01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Joel Bolomboy\bolomjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeff Withey\witheje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,31,75,.413,6,25,.240,28,40,.700,13,34,47,14,4,7,14,18,96,
