,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Aaron Gordon\gordoaa01,29:09,.581,.542,.167,.500,8.5,16.9,11.9,0.0,3.5,0.0,6.4,23.6,115,110
Elfrid Payton\paytoel01,27:37,.540,.500,.308,.154,3.0,17.8,9.0,46.2,3.6,0.0,17.8,26.8,101,109
Evan Fournier\fournev01,27:18,.322,.333,.333,.083,0.0,9.0,3.6,13.5,1.8,0.0,7.4,21.6,68,115
Nikola Vucevic\vucevni01,26:00,.272,.250,.000,.167,12.7,47.3,26.6,20.2,1.9,0.0,7.2,23.4,74,107
Serge Ibaka\ibakase01,19:19,.333,.333,.000,.000,8.6,6.4,7.7,0.0,0.0,3.3,14.3,15.9,70,116
Mario Hezonja\hezonma01,24:22,.421,.400,.467,.067,0.0,10.1,4.1,8.5,4.1,0.0,6.1,29.6,83,110
Bismack Biyombo\biyombi01,22:51,.200,.200,.000,.000,3.6,10.8,6.5,0.0,0.0,2.8,16.7,11.5,43,116
Jeff Green\greenje02,19:24,.556,.556,.667,.000,0.0,12.7,5.1,10.7,0.0,3.3,0.0,20.4,113,115
D.J. Augustin\augusdj01,15:58,.300,.300,.200,.000,0.0,0.0,0.0,40.1,0.0,0.0,0.0,13.8,93,121
C.J. Wilcox\wilcocj01,12:00,.500,.500,.667,.000,0.0,10.3,4.1,13.8,0.0,0.0,0.0,11.0,113,119
C.J. Watson\watsocj01,8:01,.000,.000,.000,.000,10.3,0.0,6.2,18.1,0.0,0.0,0.0,11.0,47,121
Stephen Zimmerman\zimmest01,8:01,.000,.000,.000,.000,20.6,30.7,24.7,18.1,0.0,0.0,0.0,5.5,100,115
Damjan Rudez\rudezda01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.409,.389,.274,.126,24.1,76.9,45.4,60.6,8.4,3.9,8.2,100.0,86.1,113.3
