,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Russell Westbrook\westbru01,45:19,.483,.409,.227,.455,6.9,23.4,15.1,58.1,2.0,0.0,8.7,50.2,106,95
Victor Oladipo\oladivi01,43:42,.523,.441,.235,.412,2.4,9.7,6.0,7.7,2.1,1.8,16.6,21.7,98,96
Andre Roberson\roberan03,39:45,.922,.875,.250,.500,0.0,29.3,14.5,0.0,5.8,2.0,17.0,5.8,153,85
Steven Adams\adamsst01,39:42,.483,.375,.000,.375,15.7,10.7,13.2,0.0,1.2,0.0,39.2,15.2,76,99
Domantas Sabonis\sabondo01,17:29,.667,.667,.000,.000,0.0,24.3,12.0,0.0,0.0,0.0,14.3,15.8,114,99
Kyle Singler\singlky01,32:51,.333,.333,.667,.000,0.0,9.7,4.8,0.0,0.0,0.0,0.0,7.2,77,102
Ersan Ilyasova\ilyaser01,16:15,.833,.833,.667,.000,0.0,32.6,16.1,0.0,2.8,0.0,40.0,12.1,92,92
Enes Kanter\kanteen01,12:16,.347,.250,.000,1.000,8.5,8.6,8.6,0.0,0.0,0.0,25.8,24.9,62,101
Semaj Christon\chrisse01,11:13,.205,.250,.000,.500,9.3,9.5,9.4,0.0,0.0,7.2,17.0,20.6,46,96
Joffrey Lauvergne\lauvejo01,6:28,,,,,32.1,0.0,16.2,20.5,0.0,0.0,,0.0,210,102
Anthony Morrow\morroan01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alex Abrines\abrinal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nick Collison\collini01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.501,.443,.219,.396,27.5,86.0,56.4,32.5,9.5,4.5,16.3,100.0,97.9,95.3
