,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook\westbru01,45:19,17,44,.386,2,10,.200,15,20,.750,3,10,13,10,2,0,5,3,51,+7
Victor Oladipo\oladivi01,43:42,7,17,.412,1,4,.250,6,7,.857,1,4,5,2,2,1,4,2,21,-12
Andre Roberson\roberan03,39:45,3,4,.750,1,1,1.000,2,2,1.000,0,11,11,0,5,1,1,5,9,+1
Steven Adams\adamsst01,39:42,3,8,.375,0,0,,3,3,1.000,6,4,10,0,1,0,6,2,9,-4
Domantas Sabonis\sabondo01,17:29,4,6,.667,0,0,,0,0,,0,4,4,0,0,0,1,3,8,-6
Kyle Singler\singlky01,32:51,2,6,.333,0,4,.000,0,0,,0,3,3,0,0,0,0,2,4,+21
Ersan Ilyasova\ilyaser01,16:15,2,3,.667,1,2,.500,0,0,,0,5,5,0,1,0,2,2,5,+8
Enes Kanter\kanteen01,12:16,1,4,.250,0,0,,2,4,.500,1,1,2,0,0,0,2,3,4,-8
Semaj Christon\chrisse01,11:13,1,4,.250,0,0,,0,2,.000,1,1,2,0,0,1,1,0,2,+3
Joffrey Lauvergne\lauvejo01,6:28,0,0,,0,0,,0,0,,2,0,2,1,0,0,0,2,0,+5
Alex Abrines\abrinal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anthony Morrow\morroan01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nick Collison\collini01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,40,96,.417,5,21,.238,28,38,.737,14,43,57,13,11,3,22,24,113,
