,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
T.J. Warren\warretj01,46:08,.759,.750,.111,.222,2.3,18.0,10.2,4.2,3.0,0.0,16.8,22.2,124,95
Devin Booker\bookede01,43:53,.386,.360,.320,.200,4.8,9.5,7.2,3.7,0.0,0.0,3.5,27.7,82,104
Tyson Chandler\chandty01,38:09,.727,.667,.000,.333,5.6,21.8,13.8,0.0,1.2,0.0,36.8,6.1,103,98
Eric Bledsoe\bledser01,37:50,.426,.375,.438,.563,0.0,13.7,6.9,25.0,3.6,0.0,4.8,23.9,94,95
Jared Dudley\dudleja01,25:13,.714,.750,1.000,2.500,0.0,8.2,4.2,15.8,1.8,0.0,0.0,7.2,159,101
Brandon Knight\knighbr03,35:27,.481,.417,.333,.222,3.0,14.7,8.9,9.5,1.3,0.0,20.2,30.1,82,100
Alex Len\lenal01,14:12,.307,.250,.000,.500,0.0,0.0,0.0,0.0,0.0,5.0,17.0,17.8,53,103
Marquese Chriss\chrisma01,10:53,.595,.600,.400,.400,9.7,28.6,19.3,0.0,4.2,6.5,14.5,27.2,104,85
Dragan Bender\bendedr01,7:16,.000,.000,.000,.000,0.0,14.3,7.2,0.0,6.3,9.7,0.0,5.9,0,83
P.J. Tucker\tuckepj01,4:10,.000,.000,1.000,.000,0.0,24.9,12.6,30.3,0.0,0.0,0.0,10.3,45,100
Tyler Ulis\ulisty01,1:51,1.000,1.000,.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,23.3,202,107
Leandro Barbosa\barbole01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alan Williams\willial03,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.509,.473,.298,.340,14.0,72.5,43.6,35.7,9.5,4.0,12.2,100.0,95.3,97.9
