,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. Warren\warretj01,46:08,13,18,.722,1,2,.500,3,4,.750,1,8,9,1,3,0,4,5,30,+2
Devin Booker\bookede01,43:53,8,25,.320,2,8,.250,3,5,.600,2,4,6,1,0,0,1,3,21,-1
Tyson Chandler\chandty01,38:09,2,3,.667,0,0,,1,1,1.000,2,8,10,0,1,0,2,5,5,+18
Eric Bledsoe\bledser01,37:50,6,16,.375,0,7,.000,5,9,.556,0,5,5,6,3,0,1,5,17,+9
Jared Dudley\dudleja01,25:13,1,2,.500,1,2,.500,3,5,.600,0,2,2,3,1,0,0,2,6,+10
Brandon Knight\knighbr03,35:27,7,18,.389,1,6,.167,4,4,1.000,1,5,6,2,1,0,5,1,19,-18
Alex Len\lenal01,14:12,1,4,.250,0,0,,1,2,.500,0,0,0,0,0,1,1,4,3,-19
Marquese Chriss\chrisma01,10:53,3,5,.600,0,2,.000,1,2,.500,1,3,4,0,1,1,1,3,7,-8
Dragan Bender\bendedr01,7:16,0,1,.000,0,0,,0,0,,0,1,1,0,1,1,0,1,0,-3
P.J. Tucker\tuckepj01,4:10,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-3
Tyler Ulis\ulisty01,1:51,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-2
Leandro Barbosa\barbole01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alan Williams\willial03,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,42,94,.447,5,28,.179,21,32,.656,7,37,44,15,11,3,15,29,110,
