,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Dennis Schroder\schrode01,27:36,.628,.571,.143,.571,0.0,11.6,6.1,54.6,1.7,0.0,18.6,17.5,126,77
Paul Millsap\millspa01,27:11,.511,.429,.143,.429,0.0,15.7,8.2,22.5,1.8,0.0,10.7,30.7,98,76
Kyle Korver\korveky01,24:23,.938,.938,.500,.000,0.0,8.7,4.6,19.6,3.9,0.0,20.0,18.4,130,72
Kent Bazemore\bazemke01,23:32,.364,.364,.182,.000,0.0,18.1,9.5,12.1,2.0,0.0,21.4,26.7,60,75
Dwight Howard\howardw01,19:10,.250,.250,.000,.000,18.3,22.3,20.4,6.3,0.0,12.1,20.0,11.7,81,66
Kris Humphries\humphkr01,22:25,.218,.167,.167,.333,5.2,42.8,24.9,5.4,4.3,6.9,22.5,17.8,48,59
Mike Muscala\muscami01,21:29,.875,.875,.125,.000,5.4,19.9,13.0,17.0,2.2,7.2,0.0,16.7,172,67
Malcolm Delaney\delanma01,20:24,.581,.583,.167,.333,0.0,10.5,5.5,26.9,2.3,0.0,0.0,15.1,127,75
Thabo Sefolosha\sefolth01,19:25,.955,1.000,.000,1.000,0.0,22.0,11.5,7.7,2.5,0.0,0.0,13.3,196,73
Tim Hardaway\hardati02,19:00,.306,.318,.545,.091,0.0,16.8,8.8,7.3,2.5,0.0,0.0,27.0,64,74
DeAndre' Bembry\bembrde01,6:04,.333,.333,.333,.000,19.3,17.6,18.4,0.0,0.0,0.0,0.0,22.2,84,79
Taurean Waller-Prince\princta02,5:45,.694,.500,.500,1.000,0.0,0.0,0.0,24.8,0.0,0.0,0.0,22.4,152,82
Edy Tavares\tavarwa01,3:36,.532,1.000,.000,2.000,0.0,29.6,15.5,0.0,0.0,0.0,0.0,23.4,75,78
Team Totals,240,.547,.524,.235,.271,14.6,91.1,54.7,73.8,11.0,11.3,11.2,100.0,103.7,71.8
