,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schroder\schrode01,27:36,4,7,.571,0,1,.000,3,4,.750,0,3,3,11,1,0,2,0,11,+12
Paul Millsap\millspa01,27:11,6,14,.429,0,2,.000,5,6,.833,0,4,4,4,1,0,2,3,17,+20
Kyle Korver\korveky01,24:23,6,8,.750,3,4,.750,0,0,,0,2,2,3,2,0,2,0,15,+14
Kent Bazemore\bazemke01,23:32,4,11,.364,0,2,.000,0,0,,0,4,4,2,1,0,3,1,8,+5
Dwight Howard\howardw01,19:10,1,4,.250,0,0,,0,0,,3,4,7,1,0,3,1,4,2,+14
Kris Humphries\humphkr01,22:25,1,6,.167,0,1,.000,1,2,.500,1,9,10,1,2,2,2,1,3,+13
Mike Muscala\muscami01,21:29,7,8,.875,0,1,.000,0,0,,1,4,5,2,1,2,0,3,14,+10
Malcolm Delaney\delanma01,20:24,3,6,.500,1,1,1.000,1,2,.500,0,2,2,4,1,0,0,1,8,+21
Thabo Sefolosha\sefolth01,19:25,4,4,1.000,0,0,,3,4,.750,0,4,4,1,1,0,0,1,11,+19
Tim Hardaway\hardati02,19:00,3,11,.273,1,6,.167,0,1,.000,0,3,3,1,1,0,0,0,7,+12
DeAndre' Bembry\bembrde01,6:04,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,+8
Taurean Waller-Prince\princta02,5:45,1,2,.500,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,0,4,+6
Edy Tavares\tavarwa01,3:36,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,0,0,2,+6
Team Totals,240,42,85,.494,5,20,.250,15,23,.652,6,41,47,31,11,7,12,14,104,
