,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Sergio Rodriguez\rodrise01,28:58,.538,.538,.154,.000,3.7,12.1,7.7,50.5,1.7,0.0,23.5,26.4,87,107
Dario Saric\saricda01,26:24,.278,.278,.333,.000,0.0,17.7,8.5,14.9,0.0,0.0,10.0,17.1,56,109
Robert Covington\covinro01,22:54,.000,.000,1.000,.000,0.0,5.1,2.4,7.5,6.3,0.0,44.4,17.7,5,98
Gerald Henderson\hendege02,17:41,.000,.000,.200,.000,0.0,6.6,3.2,9.7,2.7,0.0,0.0,12.7,9,105
Joel Embiid\embiijo01,15:28,.651,.611,.111,.444,0.0,15.1,7.2,24.9,3.1,9.5,21.8,40.1,93,93
Nik Stauskas\stausni01,28:51,.429,.429,.429,.000,0.0,20.3,9.7,6.7,0.0,2.6,30.0,15.6,58,106
Hollis Thompson\thompho01,20:11,.375,.375,.250,.000,0.0,29.0,13.8,0.0,0.0,0.0,0.0,8.9,72,108
Richaun Holmes\holmeri01,19:32,.625,.625,.000,.000,5.5,30.0,17.1,15.6,0.0,0.0,11.1,20.7,106,107
Jerami Grant\grantje01,19:20,.342,.286,.143,.571,0.0,18.2,8.7,0.0,0.0,7.6,10.2,22.7,62,101
T.J. McConnell\mccontj01,19:02,.475,.400,.200,.600,5.6,12.3,8.8,22.0,2.5,0.0,24.0,19.7,82,104
Jahlil Okafor\okafoja01,15:16,.457,.286,.000,.571,7.0,23.0,14.6,14.5,3.1,0.0,0.0,25.8,101,102
Timothe Luwawu-Cabarrot\luwawti01,6:23,.000,.000,.000,.000,0.0,18.3,8.7,26.9,7.5,0.0,50.0,14.1,19,94
Team Totals,240,.416,.381,.225,.188,8.9,85.4,45.3,57.1,9.0,7.7,18.8,100.0,71.8,103.7
