,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Avery Bradley\bradlav01,35:35,.780,.789,.579,.105,3.7,30.7,18.5,22.3,1.4,0.0,4.8,27.8,141,102
Isaiah Thomas\thomais02,35:11,.520,.500,.350,.350,0.0,3.1,1.7,35.7,0.0,0.0,8.0,33.7,106,111
Jae Crowder\crowdja01,33:32,.500,.500,.778,.000,0.0,29.3,16.1,16.5,4.5,9.1,25.0,16.9,84,88
Al Horford\horfoal01,31:11,.643,.650,.100,.200,0.0,14.0,7.7,15.5,0.0,6.6,8.4,18.0,120,104
Amir Johnson\johnsam01,20:59,.250,.250,.250,.000,6.4,20.8,14.3,6.2,0.0,0.0,20.0,11.3,64,107
Terry Rozier\roziete01,21:16,.563,.500,.250,.250,0.0,15.4,8.5,13.1,0.0,0.0,31.1,14.3,88,109
Jonas Jerebko\jerebjo01,18:31,1.500,1.500,1.000,.000,0.0,11.8,6.5,7.1,0.0,0.0,66.7,7.7,77,109
Jaylen Brown\brownja02,12:36,.543,.500,.000,.167,10.6,0.0,4.8,0.0,0.0,0.0,0.0,24.2,113,111
Tyler Zeller\zellety01,12:04,1.000,1.000,.000,.000,0.0,36.2,19.9,11.4,0.0,8.5,0.0,3.9,212,97
Gerald Green\greenge01,11:21,.410,.250,.500,.500,0.0,0.0,0.0,12.2,0.0,0.0,17.0,24.5,79,111
Jordan Mickey\mickejo01,7:44,.387,.333,.000,.667,17.2,14.1,15.5,18.9,0.0,0.0,0.0,23.7,105,109
Demetrius Jackson\jacksde01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Young\youngja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.588,.574,.383,.210,11.1,86.4,52.5,64.1,4.2,12.8,12.8,100.0,110.0,103.6
