,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Avery Bradley\bradlav01,35:35,11,19,.579,8,11,.727,1,2,.500,1,10,11,4,1,0,1,4,31,+11
Isaiah Thomas\thomais02,35:11,9,20,.450,2,7,.286,4,7,.571,0,1,1,7,0,0,2,2,24,+14
Jae Crowder\crowdja01,33:32,3,9,.333,3,7,.429,0,0,,0,9,9,4,3,3,3,5,9,+10
Al Horford\horfoal01,31:11,6,10,.600,1,1,1.000,1,2,.500,0,4,4,3,0,2,1,2,14,+11
Amir Johnson\johnsam01,20:59,1,4,.250,0,1,.000,0,0,,1,4,5,1,0,0,1,4,2,+15
Terry Rozier\roziete01,21:16,2,4,.500,0,1,.000,1,1,1.000,0,3,3,2,0,0,2,1,5,-10
Jonas Jerebko\jerebjo01,18:31,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,2,3,3,-5
Jaylen Brown\brownja02,12:36,3,6,.500,0,0,,1,1,1.000,1,0,1,0,0,0,0,1,7,-1
Tyler Zeller\zellety01,12:04,1,1,1.000,0,0,,0,0,,0,4,4,1,0,1,0,3,2,-4
Gerald Green\greenge01,11:21,1,4,.250,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,1,4,-6
Jordan Mickey\mickejo01,7:44,1,3,.333,0,0,,1,2,.500,1,1,2,1,0,0,0,0,3,-5
Demetrius Jackson\jacksde01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Young\youngja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,81,.481,15,31,.484,11,17,.647,4,38,42,25,4,6,13,26,104,
