,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kemba Walker\walkeke02,35:58,.778,.750,.500,.375,0.0,7.4,3.3,21.5,4.2,0.0,17.7,29.8,119,108
Nicolas Batum\batumni01,32:48,.475,.350,.500,.600,0.0,16.3,7.3,31.8,0.0,5.9,7.3,19.7,105,111
Marvin Williams\willima02,30:10,.414,.400,.900,.200,0.0,13.3,6.0,5.8,0.0,3.2,0.0,17.1,84,114
Michael Kidd-Gilchrist\kiddgmi01,24:37,.518,.400,.000,.800,4.4,16.2,9.7,0.0,2.1,0.0,0.0,13.0,113,112
Cody Zeller\zelleco01,21:10,.527,.500,.000,1.500,5.2,50.4,25.5,8.3,0.0,9.1,13.1,17.1,102,104
Frank Kaminsky\kaminfr01,24:18,.619,.563,.250,.250,4.5,16.5,9.9,24.6,0.0,0.0,10.1,19.2,120,116
Marco Belinelli\belinma01,23:23,.342,.167,.500,.500,0.0,5.7,2.6,6.9,2.2,0.0,0.0,14.8,79,112
Spencer Hawes\hawessp01,20:22,.333,.333,.000,.000,16.1,13.1,14.7,37.8,2.5,4.7,10.0,23.2,91,107
Ramon Sessions\sessira01,18:04,.717,.625,.250,.500,0.0,22.1,10.0,29.9,2.8,0.0,0.0,12.8,155,109
Jeremy Lamb\lambje01,9:10,.317,.286,.571,.286,0.0,43.6,19.6,0.0,5.5,0.0,0.0,40.6,63,101
Treveon Graham\grahatr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brian Roberts\roberbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Christian Wood\woodch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.524,.462,.405,.418,13.6,88.9,47.5,68.8,8.5,12.0,7.9,100.0,103.6,110.0
