,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kemba Walker\walkeke02,35:58,10,16,.625,4,8,.500,5,6,.833,0,2,2,3,3,0,4,2,29,-18
Nicolas Batum\batumni01,32:48,3,10,.300,1,5,.200,5,6,.833,0,4,4,6,0,2,1,2,12,-7
Marvin Williams\willima02,30:10,3,10,.300,2,9,.222,1,2,.500,0,3,3,1,0,1,0,2,9,-11
Michael Kidd-Gilchrist\kiddgmi01,24:37,2,5,.400,0,0,,3,4,.750,1,3,4,0,1,0,0,1,7,-11
Cody Zeller\zelleco01,21:10,2,4,.500,0,0,,3,6,.500,1,8,9,1,0,2,1,3,7,-13
Frank Kaminsky\kaminfr01,24:18,4,8,.500,1,2,.500,2,2,1.000,1,3,4,3,0,0,1,2,11,+7
Marco Belinelli\belinma01,23:23,1,6,.167,0,3,.000,3,3,1.000,0,1,1,1,1,0,0,2,5,+5
Spencer Hawes\hawessp01,20:22,3,9,.333,0,0,,0,0,,3,2,5,4,1,1,1,0,6,+5
Ramon Sessions\sessira01,18:04,2,4,.500,1,1,1.000,2,2,1.000,0,3,3,3,1,0,0,3,7,+3
Jeremy Lamb\lambje01,9:10,2,7,.286,0,4,.000,1,2,.500,0,3,3,0,1,0,0,0,5,+10
Treveon Graham\grahatr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Christian Wood\woodch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brian Roberts\roberbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,32,79,.405,9,32,.281,25,33,.758,6,32,38,22,8,6,8,17,98,
