,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Jeremy Lin\linje01,32:51,.330,.281,.438,.313,3.1,7.0,4.9,51.6,4.3,2.2,18.0,28.4,84,106
Bojan Bogdanovic\bogdabo02,31:20,.737,.667,.400,.400,6.5,21.9,13.8,6.6,0.0,0.0,10.2,26.3,135,114
Trevor Booker\booketr01,30:30,.658,.500,.250,.750,3.3,48.7,24.8,5.1,1.5,4.8,0.0,14.6,147,101
Justin Hamilton\hamilju01,29:54,.500,.500,.667,.000,3.4,7.6,5.4,4.8,4.7,4.9,14.3,9.8,96,102
Rondae Hollis-Jefferson\holliro01,22:38,.250,.250,.250,.000,4.5,20.2,11.9,6.1,0.0,3.2,50.0,14.8,39,111
Sean Kilpatrick\kilpase01,23:49,.670,.611,.222,.556,0.0,0.0,0.0,7.5,2.0,0.0,8.2,21.5,126,114
Joe Harris\harrijo01,18:13,.357,.357,.571,.000,0.0,12.5,5.9,8.3,2.6,0.0,22.2,20.7,61,110
Luis Scola\scolalu01,18:06,1.190,1.200,.400,.400,28.2,18.9,23.8,22.3,2.6,0.0,14.5,16.0,199,109
Anthony Bennett\bennean01,17:30,.455,.444,.556,.222,0.0,6.5,3.1,28.6,2.7,0.0,9.2,26.1,96,111
Isaiah Whitehead\whiteis01,8:22,.798,1.000,.000,2.000,0.0,0.0,0.0,18.4,5.6,0.0,51.5,19.5,76,106
Greivis Vasquez\vasqugr01,6:47,.250,.250,.250,.000,0.0,16.8,8.0,0.0,0.0,0.0,0.0,24.8,55,115
Brook Lopez\lopezbr01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Chris McCullough\mcculch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.561,.506,.405,.333,23.4,81.0,50.6,62.2,11.8,9.1,15.7,100.0,106.2,108.1
