,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Matthew Dellavedova\dellama01,36:09,.595,.500,.100,.400,3.2,5.7,4.5,34.8,3.9,0.0,7.8,15.1,135,108
Giannis Antetokounmpo\antetgi01,35:29,.569,.556,.056,.056,3.2,25.9,15.2,14.8,2.7,5.4,17.8,27.0,96,101
Jabari Parker\parkeja01,34:45,.513,.455,.091,.545,6.6,17.6,12.4,16.2,2.7,0.0,12.8,19.2,106,107
Tony Snell\snellto01,20:37,.429,.429,.429,.000,5.5,5.0,5.2,0.0,0.0,0.0,12.5,16.5,80,116
Miles Plumlee\plumlmi01,8:05,.266,.000,.000,2.000,0.0,12.6,6.7,14.5,0.0,0.0,34.7,15.2,53,114
Rashad Vaughn\vaughra01,27:03,.647,.647,.706,.000,0.0,7.6,4.0,0.0,0.0,3.5,0.0,26.8,121,114
John Henson\hensojo01,20:56,.509,.500,.000,.333,10.9,48.8,30.9,20.2,4.5,9.2,12.7,16.1,112,88
Greg Monroe\monrogr01,18:59,.598,.429,.000,.714,6.0,10.8,8.5,22.7,9.9,0.0,17.9,25.2,114,93
Mirza Teletovic\teletmi01,16:01,.820,.750,.750,.500,0.0,12.8,6.7,17.1,0.0,0.0,0.0,13.0,171,114
Malcolm Brogdon\brogdma01,12:50,.170,.000,.200,.400,0.0,8.0,4.2,0.0,3.7,0.0,14.5,22.9,33,107
Michael Beasley\beaslmi01,9:06,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,14.1,106,118
Thon Maker\makerth01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Steve Novak\novakst01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.558,.511,.250,.273,19.0,76.6,49.4,61.0,13.8,10.0,12.4,100.0,108.1,106.2
