,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Matthew Dellavedova\dellama01,36:09,5,10,.500,0,1,.000,4,4,1.000,1,2,3,9,3,0,1,4,14,+11
Giannis Antetokounmpo\antetgi01,35:29,10,18,.556,0,1,.000,1,1,1.000,1,9,10,3,2,2,4,2,21,+16
Jabari Parker\parkeja01,34:45,5,11,.455,0,1,.000,4,6,.667,2,6,8,4,2,0,2,1,14,+15
Tony Snell\snellto01,20:37,3,7,.429,0,3,.000,0,0,,1,1,2,0,0,0,1,4,6,-10
Miles Plumlee\plumlmi01,8:05,0,1,.000,0,0,,1,2,.500,0,1,1,1,0,0,1,2,1,-13
Rashad Vaughn\vaughra01,27:03,8,17,.471,6,12,.500,0,0,,0,2,2,0,0,1,0,2,22,+15
John Henson\hensojo01,20:56,3,6,.500,0,0,,1,2,.500,2,10,12,3,2,2,1,3,7,+1
Greg Monroe\monrogr01,18:59,3,7,.429,0,0,,5,5,1.000,1,2,3,3,4,0,2,0,11,+14
Mirza Teletovic\teletmi01,16:01,2,4,.500,2,3,.667,2,2,1.000,0,2,2,2,0,0,0,3,8,-12
Malcolm Brogdon\brogdma01,12:50,0,5,.000,0,1,.000,2,2,1.000,0,1,1,0,1,0,1,1,2,-11
Michael Beasley\beaslmi01,9:06,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,4,-16
Steve Novak\novakst01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Thon Maker\makerth01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,88,.466,8,22,.364,20,24,.833,8,36,44,25,14,5,14,23,110,
