,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Jeff Teague\teaguje01,28:00,.000,.000,.143,.000,4.1,13.5,8.6,31.9,3.7,0.0,22.2,14.7,54,124
Monta Ellis\ellismo01,27:36,.167,.167,.167,.000,0.0,9.2,4.3,21.1,0.0,0.0,33.3,14.9,50,134
Thaddeus Young\youngth01,26:31,.625,.625,.250,.000,4.3,19.1,11.3,16.0,3.9,0.0,11.1,15.5,117,122
Paul George\georgpa01,23:37,.833,.833,.417,.000,0.0,5.3,2.5,22.8,2.2,0.0,20.0,29.0,113,130
Myles Turner\turnemy01,21:42,.704,.667,.000,.417,5.3,17.5,11.1,17.5,0.0,10.2,6.6,32.0,132,124
Joe Young\youngjo01,20:00,.739,.714,.429,.143,0.0,12.6,6.0,21.6,0.0,0.0,0.0,17.0,149,133
C.J. Miles\milescj01,19:58,.409,.409,.182,.000,0.0,6.3,3.0,14.4,2.6,7.4,0.0,25.2,88,124
Glenn Robinson\robingl02,18:06,.661,.571,.286,.429,12.6,7.0,9.9,0.0,0.0,0.0,10.7,23.5,123,134
Georges Niang\niangge01,15:50,.400,.400,.400,.000,7.2,8.0,7.6,8.2,0.0,0.0,28.6,20.2,67,134
Al Jefferson\jeffeal01,14:31,.600,.600,.000,.000,7.9,17.4,12.4,20.0,0.0,0.0,0.0,15.8,133,131
Kevin Seraphin\serapke01,11:47,.667,.667,.000,.000,9.7,32.2,20.4,30.5,8.7,6.3,0.0,23.3,139,103
Rakeem Christmas\chrisra01,6:43,.000,.000,.000,.000,0.0,18.8,8.9,16.6,0.0,0.0,0.0,6.8,52,131
Lavoy Allen\allenla01,5:39,.000,.000,.000,.000,0.0,22.4,10.6,39.5,0.0,13.1,0.0,8.1,84,121
Team Totals,240,.549,.528,.205,.102,19.0,65.8,41.3,79.1,8.6,10.8,12.4,100.0,108.1,126.3
