,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Karl-Anthony Towns\townska01,37:06,.582,.625,.167,.167,9.6,12.9,11.6,18.5,2.9,2.2,7.2,19.0,125,115
Andrew Wiggins\wiggian01,36:51,.584,.525,.250,.550,0.0,3.3,1.9,0.0,1.5,2.2,10.8,38.3,108,121
Zach LaVine\lavinza01,36:30,.666,.607,.500,.286,0.0,16.4,9.8,9.5,0.0,0.0,6.0,23.3,135,121
Gorgui Dieng\dienggo01,34:36,.651,.556,.111,.444,20.6,31.2,26.9,9.2,0.0,4.7,8.5,17.2,142,114
Ricky Rubio\rubiori01,28:15,.563,.500,.250,.250,0.0,4.2,2.5,25.3,5.7,0.0,18.4,9.8,125,113
Kris Dunn\dunnkr01,19:45,.532,.750,.500,2.000,0.0,6.1,3.6,28.1,0.0,0.0,21.0,12.2,111,124
Nemanja Bjelica\bjeline01,12:36,.129,.000,1.000,.667,0.0,19.0,11.4,10.3,0.0,6.5,34.0,23.7,30,116
Cole Aldrich\aldrico01,11:42,,,,,15.2,41.0,30.6,0.0,0.0,0.0,100.0,4.3,60,114
Brandon Rush\rushbr01,11:30,.833,.833,.667,.000,0.0,10.4,6.2,0.0,0.0,0.0,0.0,13.2,164,123
Shabazz Muhammad\muhamsh01,11:09,1.042,1.000,.000,1.000,0.0,10.8,6.4,17.9,0.0,0.0,0.0,19.7,218,123
Adreian Payne\paynead01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Hill\hilljo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tyus Jones\jonesty01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.616,.579,.314,.443,25.9,72.5,53.7,51.4,6.7,8.5,11.6,100.0,115.3,118.6
