,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Karl-Anthony Towns\townska01,37:06,7,12,.583,1,2,.500,0,2,.000,2,4,6,4,2,1,1,5,15,-7
Andrew Wiggins\wiggian01,36:51,10,20,.500,1,5,.200,8,11,.727,0,1,1,0,1,1,3,2,29,-7
Zach LaVine\lavinza01,36:30,7,14,.500,3,7,.429,4,4,1.000,0,5,5,2,0,0,1,3,21,-3
Gorgui Dieng\dienggo01,34:36,5,9,.556,0,1,.000,4,4,1.000,4,9,13,2,0,2,1,4,14,+15
Ricky Rubio\rubiori01,28:15,2,4,.500,0,1,.000,1,1,1.000,0,1,1,5,3,0,1,3,5,-10
Kris Dunn\dunnkr01,19:45,1,2,.500,1,1,1.000,1,4,.250,0,1,1,4,0,0,1,2,4,+7
Nemanja Bjelica\bjeline01,12:36,0,3,.000,0,3,.000,1,2,.500,0,2,2,1,0,1,2,3,1,-4
Cole Aldrich\aldrico01,11:42,0,0,,0,0,,0,0,,1,4,5,0,0,0,1,3,0,-10
Brandon Rush\rushbr01,11:30,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,0
Shabazz Muhammad\muhamsh01,11:09,3,3,1.000,0,0,,3,3,1.000,0,1,1,1,0,0,0,0,9,+4
Tyus Jones\jonesty01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Hill\hilljo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Adreian Payne\paynead01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,70,.529,7,22,.318,22,31,.710,7,29,36,19,6,5,11,25,103,
