,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Anthony Davis\davisan02,31:35,.486,.400,.000,.533,0.0,17.3,8.0,0.0,0.0,7.7,5.1,29.2,94,102
Solomon Hill\hillso01,26:51,.357,.357,.429,.000,3.5,12.2,7.5,0.0,3.8,0.0,12.5,14.1,68,102
Tim Frazier\fraziti01,25:10,.313,.313,.250,.000,0.0,17.3,8.0,47.4,0.0,0.0,20.0,18.8,72,109
E'Twaun Moore\mooreet01,24:49,.628,.615,.154,.231,0.0,0.0,0.0,0.0,2.1,3.3,0.0,27.3,122,105
Omer Asik\asikom01,15:01,,,,,6.3,43.6,23.6,10.0,0.0,0.0,,0.0,211,104
Langston Galloway\gallola01,22:54,.300,.300,.400,.000,0.0,19.1,8.8,16.3,0.0,0.0,0.0,20.6,68,109
Dante Cunningham\cunnida01,22:46,.765,.800,.600,.400,8.3,14.4,11.1,0.0,0.0,0.0,14.5,14.3,129,110
Lance Stephenson\stephla01,18:16,.250,.250,.500,.000,0.0,0.0,0.0,35.8,0.0,0.0,0.0,10.3,82,112
Buddy Hield\hieldbu01,17:39,.368,.300,.300,.200,5.3,24.7,14.3,0.0,5.8,0.0,8.4,31.8,73,95
Alexis Ajinca\ajincal01,15:13,.400,.400,.000,.000,6.2,35.8,19.9,0.0,0.0,0.0,28.6,21.7,61,106
Terrence Jones\joneste01,14:03,.286,.286,.429,.000,0.0,31.1,14.4,0.0,3.6,0.0,12.5,26.9,50,99
Cheick Diallo\diallch01,5:43,.000,.000,.000,.000,16.5,0.0,8.8,0.0,0.0,14.2,0.0,16.5,31,99
Jrue Holiday\holidjr01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,.427,.395,.256,.174,13.7,86.4,47.4,43.8,6.4,8.5,8.9,100.0,84.4,104.7
