,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kawhi Leonard\leonaka01,28:00,.683,.583,.333,.500,0.0,13.4,7.2,20.8,3.7,0.0,0.0,24.6,142,83
Kyle Anderson\anderky01,26:22,.357,.357,.286,.000,0.0,25.0,13.4,5.8,1.9,2.8,12.5,14.3,66,81
LaMarcus Aldridge\aldrila01,25:09,.407,.346,.154,.308,4.3,18.7,12.1,0.0,0.0,3.0,0.0,27.6,86,86
Patty Mills\millspa02,24:11,.911,.889,.778,.222,4.5,0.0,2.1,43.0,0.0,0.0,9.2,21.1,166,94
Pau Gasol\gasolpa01,21:42,.654,.583,.167,.333,5.0,30.4,18.6,39.0,0.0,0.0,12.7,17.1,134,87
Jonathon Simmons\simmojo02,26:09,.427,.417,.083,.167,0.0,10.8,5.8,7.1,2.0,2.9,13.4,26.7,74,84
Nicolas Laprovittola\laproni01,21:55,.554,.400,.600,.600,0.0,17.2,9.2,28.6,0.0,0.0,13.7,15.7,115,89
Dewayne Dedmon\dedmode01,15:57,.512,.500,.000,.500,6.8,29.5,19.0,0.0,3.2,9.4,0.0,14.4,111,71
David Lee\leeda02,15:19,.500,.500,.000,.000,7.1,24.6,16.5,12.2,0.0,0.0,0.0,18.4,110,88
Bryn Forbes\forbebr01,14:34,.333,.333,.333,.000,0.0,6.5,3.5,0.0,3.5,0.0,0.0,9.7,66,84
Davis Bertans\bertada01,11:55,.375,.375,.500,.000,9.2,15.8,12.7,0.0,0.0,12.6,33.3,23.7,57,78
Dejounte Murray\murrade01,8:47,.000,.000,.500,1.000,0.0,21.4,11.5,15.6,0.0,0.0,25.8,20.8,14,88
Tony Parker\parketo01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.526,.482,.289,.277,13.6,86.3,52.6,60.0,6.4,10.9,8.8,100.0,104.7,84.4
