,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,28:00,6,12,.500,2,4,.500,6,6,1.000,0,4,4,3,2,0,0,1,20,+13
Kyle Anderson\anderky01,26:22,2,7,.286,1,2,.500,0,0,,0,7,7,1,1,1,1,1,5,+23
LaMarcus Aldridge\aldrila01,25:09,4,13,.308,1,2,.500,3,4,.750,1,5,6,0,0,1,0,4,12,+13
Patty Mills\millspa02,24:11,6,9,.667,4,7,.571,2,2,1.000,1,0,1,5,0,0,1,0,18,+11
Pau Gasol\gasolpa01,21:42,3,6,.500,1,1,1.000,2,2,1.000,1,7,8,5,0,0,1,0,9,+15
Jonathon Simmons\simmojo02,26:09,5,12,.417,0,1,.000,1,2,.500,0,3,3,1,1,1,2,2,11,+8
Nicolas Laprovittola\laproni01,21:55,2,5,.400,0,3,.000,3,3,1.000,0,4,4,4,0,0,1,2,7,+7
Dewayne Dedmon\dedmode01,15:57,2,4,.500,0,0,,1,2,.500,1,5,6,0,1,2,0,1,5,+11
David Lee\leeda02,15:19,3,6,.500,0,0,,0,0,,1,4,5,1,0,0,0,0,6,+5
Bryn Forbes\forbebr01,14:34,1,3,.333,0,1,.000,0,0,,0,1,1,0,1,0,0,2,2,-5
Davis Bertans\bertada01,11:55,1,4,.250,1,2,.500,0,0,,1,2,3,0,0,2,2,1,3,-2
Dejounte Murray\murrade01,8:47,0,2,.000,0,1,.000,0,2,.000,0,2,2,1,0,0,1,1,0,-4
Tony Parker\parketo01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,35,83,.422,10,24,.417,18,23,.783,6,44,50,21,6,7,9,15,98,
