,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LeBron James\jamesle01,39:00,.552,.500,.375,.688,2.5,15.4,8.2,40.4,1.3,2.2,8.8,25.5,122,103
Kyrie Irving\irvinky01,36:52,.506,.444,.333,.222,0.0,13.0,5.8,9.7,0.0,4.7,4.8,24.5,107,105
Kevin Love\loveke01,32:48,.473,.353,.294,.412,8.8,7.3,8.1,0.0,0.0,2.6,16.6,32.0,90,107
J.R. Smith\smithjr01,28:22,.673,.636,.909,.182,10.2,8.5,9.4,6.1,1.8,3.0,0.0,18.2,150,103
Tristan Thompson\thomptr01,27:14,.205,.250,.000,.500,14.1,35.3,23.5,5.1,1.8,3.1,0.0,7.8,93,95
Richard Jefferson\jefferi01,23:07,.500,.500,.333,.000,0.0,15.6,6.9,0.0,2.2,0.0,14.3,13.2,86,102
Mike Dunleavy\dunlemi02,19:47,.375,.375,.750,.000,0.0,12.1,5.4,7.8,0.0,0.0,0.0,17.6,89,108
Iman Shumpert\shumpim01,18:49,.833,.833,.333,.000,0.0,0.0,0.0,8.3,7.9,0.0,25.0,9.3,122,94
Chris Andersen\anderch01,8:55,.798,1.000,.000,2.000,10.8,13.5,12.0,21.3,5.6,0.0,0.0,18.4,170,95
Kay Felder\feldeka01,5:06,.333,.333,.333,.000,18.8,0.0,10.5,35.4,0.0,0.0,0.0,25.6,103,112
James Jones\jonesja02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre Liggins\liggide01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan McRae\mcraejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.519,.472,.420,.341,26.0,67.5,44.4,47.2,8.3,10.7,8.2,100.0,108.8,102.6
