,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,39:00,7,16,.438,2,6,.333,7,11,.636,1,5,6,9,1,1,2,2,23,+1
Kyrie Irving\irvinky01,36:52,7,18,.389,2,6,.333,4,4,1.000,0,4,4,2,0,2,1,2,20,+7
Kevin Love\loveke01,32:48,6,17,.353,0,5,.000,7,7,1.000,3,2,5,0,0,1,4,6,19,-4
J.R. Smith\smithjr01,28:22,5,11,.455,4,10,.400,2,2,1.000,3,2,5,1,1,1,0,4,16,+5
Tristan Thompson\thomptr01,27:14,1,4,.250,0,0,,0,2,.000,4,8,12,1,1,1,0,1,2,+11
Richard Jefferson\jefferi01,23:07,3,6,.500,0,2,.000,0,0,,0,3,3,0,1,0,1,4,6,+4
Mike Dunleavy\dunlemi02,19:47,2,8,.250,2,6,.333,0,0,,0,2,2,1,0,0,0,1,6,-4
Iman Shumpert\shumpim01,18:49,2,3,.667,1,1,1.000,0,0,,0,0,0,1,3,0,1,5,5,-3
Chris Andersen\anderch01,8:55,2,2,1.000,0,0,,2,4,.500,1,1,2,1,1,0,0,2,6,+3
Kay Felder\feldeka01,5:06,1,3,.333,0,1,.000,0,0,,1,0,1,1,0,0,0,0,2,+10
James Jones\jonesja02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan McRae\mcraejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre Liggins\liggide01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,88,.409,11,37,.297,22,30,.733,13,27,40,17,8,6,9,27,105,
