,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier\fournev01,37:43,9,16,.563,2,6,.333,2,2,1.000,0,2,2,6,0,0,3,5,22,-5
Elfrid Payton\paytoel01,34:17,5,11,.455,0,2,.000,0,2,.000,0,4,4,5,0,1,0,3,10,-9
Serge Ibaka\ibakase01,30:43,7,12,.583,0,0,,5,7,.714,3,4,7,1,1,0,1,4,19,-6
Aaron Gordon\gordoaa01,25:34,3,7,.429,1,3,.333,1,2,.500,0,3,3,2,3,1,2,3,8,-21
Nikola Vucevic\vucevni01,24:41,5,8,.625,0,0,,1,2,.500,2,7,9,1,0,0,4,2,11,-10
Jeff Green\greenje02,27:59,2,9,.222,2,6,.333,4,6,.667,1,9,10,2,1,1,3,0,10,+2
D.J. Augustin\augusdj01,20:56,5,12,.417,2,6,.333,1,1,1.000,0,2,2,3,1,0,1,2,13,+11
Bismack Biyombo\biyombi01,19:04,1,3,.333,0,0,,1,4,.250,7,2,9,0,0,1,3,3,3,+5
Mario Hezonja\hezonma01,10:20,1,4,.250,1,3,.333,0,0,,0,4,4,0,0,1,3,1,3,-1
C.J. Wilcox\wilcocj01,8:44,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,+4
Arinze Onuaku\onuakar01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
C.J. Watson\watsocj01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Damjan Rudez\rudezda01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,84,.452,8,28,.286,15,26,.577,13,37,50,21,6,5,20,23,99,
