,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. Warren\warretj01,36:45,10,21,.476,2,5,.400,4,4,1.000,3,3,6,1,1,1,0,5,26,-6
Eric Bledsoe\bledser01,35:36,7,11,.636,1,3,.333,6,9,.667,0,5,5,6,1,0,0,2,21,-6
Devin Booker\bookede01,28:19,3,12,.250,1,4,.250,0,0,,0,0,0,2,0,1,2,0,7,-10
Tyson Chandler\chandty01,28:15,3,5,.600,0,0,,2,4,.500,3,15,18,1,0,0,2,3,8,-10
Jared Dudley\dudleja01,27:04,3,7,.429,2,4,.500,1,2,.500,1,1,2,3,3,1,2,4,9,-6
Brandon Knight\knighbr03,25:38,3,12,.250,1,3,.333,2,2,1.000,1,0,1,3,2,0,3,3,9,+6
Alex Len\lenal01,18:28,2,7,.286,0,0,,2,2,1.000,1,7,8,1,1,3,0,4,6,+3
Leandro Barbosa\barbole01,14:39,3,6,.500,0,0,,1,2,.500,1,2,3,2,0,0,0,0,7,+1
Marquese Chriss\chrisma01,13:52,3,6,.500,1,1,1.000,0,0,,1,3,4,0,2,0,1,3,7,+1
P.J. Tucker\tuckepj01,7:48,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,1,0,+4
Dragan Bender\bendedr01,3:23,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-4
Tyler Ulis\ulisty01,0:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Alan Williams\willial03,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,90,.411,8,23,.348,18,25,.720,11,39,50,19,10,6,11,26,100,
