,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Julius Randle\randlju01,32:00,.716,.700,.100,.900,3.3,30.0,15.7,18.4,4.3,0.0,12.5,20.2,131,101
D'Angelo Russell\russeda01,31:38,.479,.450,.450,.100,3.3,15.2,8.8,31.1,2.9,0.0,12.6,30.6,95,108
Nick Young\youngni01,30:14,.606,.500,.909,.455,0.0,11.9,5.5,5.5,3.0,0.0,13.2,20.4,111,108
Timofey Mozgov\mozgoti01,23:43,.800,.800,.000,.000,13.2,10.1,11.8,7.5,0.0,2.9,37.5,13.7,102,113
Luol Deng\denglu01,22:07,.000,.000,.667,.000,4.7,5.4,5.0,18.6,2.1,3.1,25.0,7.3,47,109
Jordan Clarkson\clarkjo01,28:44,.429,.429,.214,.000,7.3,12.5,9.7,13.4,4.7,0.0,22.2,25.4,75,104
Brandon Ingram\ingrabr01,20:51,.383,.300,.300,.400,5.0,23.0,13.4,16.4,2.2,0.0,7.8,24.8,86,107
Lou Williams\willilo02,19:36,.400,.286,.286,.571,0.0,6.1,2.8,16.3,2.3,0.0,18.6,22.2,77,111
Larry Nance\nancela02,12:08,.500,.500,.000,.000,8.6,9.9,9.2,12.7,3.7,0.0,33.3,10.0,87,107
Tarik Black\blackta01,11:02,.500,.500,.000,.000,9.5,32.6,20.2,0.0,0.0,0.0,33.3,11.0,76,110
Jose Calderon\caldejo01,4:14,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.1,0,117
Metta World Peace\artesro01,3:43,.000,.000,.500,.000,0.0,0.0,0.0,0.0,12.2,0.0,0.0,21.8,0,91
Marcelo Huertas\huertma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.492,.443,.368,.276,23.9,75.0,47.7,57.1,14.2,2.9,17.7,100.0,90.7,106.7
