,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Victor Oladipo\oladivi01,38:22,.469,.425,.350,.150,0.0,2.7,1.5,13.8,1.2,0.0,12.3,25.0,93,100
Russell Westbrook\westbru01,33:39,.698,.643,.286,.286,14.3,21.7,18.2,77.9,1.3,2.6,22.8,36.0,127,93
Andre Roberson\roberan03,30:03,.508,.571,.429,.286,0.0,17.4,9.3,12.4,1.5,2.9,0.0,10.4,114,93
Steven Adams\adamsst01,29:34,.543,.500,.000,.167,12.2,31.8,22.7,9.2,4.6,5.9,13.4,19.9,108,80
Domantas Sabonis\sabondo01,6:48,.000,.000,.000,.000,0.0,0.0,0.0,0.0,6.7,12.8,0.0,5.8,0,81
Ersan Ilyasova\ilyaser01,25:41,.000,.000,.833,.000,4.7,20.3,13.0,0.0,1.8,3.4,25.0,12.3,10,92
Enes Kanter\kanteen01,21:56,.727,.727,.091,.000,5.5,23.8,15.3,0.0,0.0,0.0,15.4,23.4,113,96
Semaj Christon\chrisse01,20:05,.388,.417,.167,.167,0.0,0.0,0.0,11.9,4.5,0.0,13.4,14.6,80,94
Kyle Singler\singlky01,18:11,.667,.667,.333,.000,6.6,5.7,6.1,0.0,2.5,0.0,40.0,10.9,79,96
Joffrey Lauvergne\lauvejo01,7:55,.500,.500,.500,.000,0.0,26.4,14.1,15.6,11.5,0.0,0.0,10.0,120,70
Anthony Morrow\morroan01,5:57,.600,.600,.200,.000,0.0,0.0,0.0,38.8,7.6,0.0,0.0,33.2,123,87
Alex Abrines\abrinal01,1:49,1.078,1.000,.000,3.000,0.0,0.0,0.0,0.0,25.0,0.0,0.0,50.5,235,49
Nick Collison\collini01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.551,.521,.274,.179,25.0,76.1,52.3,64.4,14.2,10.9,15.6,100.0,106.7,90.7
