,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Drummond\drumman01,36:48,8,16,.500,0,0,,4,8,.500,8,15,23,1,2,3,0,1,20,+9
Marcus Morris\morrima03,35:43,4,16,.250,1,8,.125,2,2,1.000,1,4,5,2,1,0,3,2,11,+5
Kentavious Caldwell-Pope\caldwke01,33:58,7,13,.538,2,5,.400,5,5,1.000,4,2,6,2,2,0,0,1,21,+7
Tobias Harris\harrito02,31:14,7,12,.583,2,3,.667,0,0,,1,4,5,2,2,0,1,2,16,+14
Ish Smith\smithis01,31:09,5,17,.294,0,3,.000,1,1,1.000,0,2,2,7,0,0,4,2,11,+9
Jon Leuer\leuerjo01,27:28,3,5,.600,0,1,.000,0,0,,0,3,3,1,0,1,0,3,6,+12
Beno Udrih\udrihbe01,16:51,3,5,.600,0,0,,0,0,,0,3,3,6,0,0,5,2,6,+6
Stanley Johnson\johnsst04,15:37,0,0,,0,0,,0,0,,0,4,4,2,1,0,0,0,0,+8
Aron Baynes\baynear01,11:12,2,4,.500,0,0,,3,4,.750,2,5,7,0,0,0,2,1,7,+5
Michael Gbinije\gbinimi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Henry Ellenson\ellenhe01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Darrun Hilliard\hillida01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanovic\marjabo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,88,.443,5,20,.250,15,20,.750,16,42,58,23,8,4,15,14,98,
