,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Giannis Antetokounmpo\antetgi01,35:13,.456,.344,.188,.375,0.0,23.7,11.1,40.1,0.0,6.0,9.7,26.8,98,103
Matthew Dellavedova\dellama01,30:57,.714,.714,.429,.000,3.0,3.4,3.2,27.9,0.0,0.0,22.2,13.3,116,115
Jabari Parker\parkeja01,29:12,.385,.375,.063,.125,9.5,10.7,10.1,6.8,0.0,0.0,0.0,26.4,87,112
Tony Snell\snellto01,25:41,.286,.286,.286,.000,3.6,12.2,7.6,6.2,2.0,0.0,0.0,12.4,71,107
Miles Plumlee\plumlmi01,17:05,.667,.667,.000,.000,10.8,18.3,14.3,37.0,3.0,0.0,25.0,21.4,108,102
Rashad Vaughn\vaughra01,22:19,.313,.313,.500,.000,0.0,4.7,2.2,0.0,6.9,0.0,11.1,18.4,56,100
Greg Monroe\monrogr01,17:46,.533,.444,.000,.333,5.2,23.5,13.8,0.0,5.8,0.0,8.8,29.1,100,94
Malcolm Brogdon\brogdma01,17:03,.403,.429,.143,.143,0.0,12.2,5.7,11.0,3.0,0.0,0.0,19.9,84,105
Mirza Teletovic\teletmi01,15:48,.333,.333,.333,.000,5.8,6.6,6.2,0.0,0.0,4.5,0.0,8.7,82,111
Michael Beasley\beaslmi01,15:47,.595,.600,.400,.400,0.0,6.6,3.1,24.5,6.5,0.0,25.4,22.8,89,99
John Henson\hensojo01,11:34,.000,.000,.000,.000,8.0,18.0,12.7,12.2,0.0,0.0,40.0,19.7,20,107
Thon Maker\makerth01,1:35,,,,,0.0,65.9,30.9,0.0,0.0,0.0,,0.0,0,89
Steve Novak\novakst01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.445,.414,.195,.161,19.2,65.2,40.8,64.7,10.7,5.9,11.4,100.0,89.0,105.1
