,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Justise Winslow\winslju01,39:06,7,15,.467,0,3,.000,4,5,.800,2,3,5,2,1,1,2,5,18,-2
Hassan Whiteside\whiteha01,34:56,10,15,.667,0,0,,7,10,.700,1,14,15,1,2,4,1,2,27,+7
Goran Dragic\dragigo01,34:02,9,17,.529,3,7,.429,4,6,.667,0,3,3,5,1,0,2,3,25,+6
Dion Waiters\waitedi01,33:26,3,9,.333,2,3,.667,1,2,.500,0,2,2,3,1,1,6,3,9,+1
Luke Babbitt\babbilu01,25:13,2,6,.333,2,5,.400,0,0,,0,5,5,4,0,0,0,2,6,0
Tyler Johnson\johnsty01,30:23,5,11,.455,0,1,.000,2,3,.667,0,0,0,3,0,0,1,4,12,-16
Rodney McGruder\mcgruro01,16:11,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-12
James Johnson\johnsja01,14:05,0,2,.000,0,0,,0,0,,0,2,2,1,1,0,0,1,0,-7
Willie Reed\reedwi02,12:37,1,3,.333,0,0,,0,0,,3,1,4,0,1,0,0,2,2,-12
Josh Richardson\richajo01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Derrick Williams\willide02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Udonis Haslem\hasleud01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh McRoberts\mcrobjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,80,.463,7,20,.350,18,26,.692,6,30,36,19,7,6,12,24,99,
