,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
George Hill\hillge01,31:56,8,13,.615,2,4,.500,0,0,,1,1,2,3,2,0,2,3,18,-9
Rodney Hood\hoodro01,28:16,2,10,.200,1,2,.500,0,1,.000,0,3,3,0,0,0,2,3,5,-13
Rudy Gobert\goberru01,26:07,3,4,.750,0,0,,2,2,1.000,2,7,9,3,0,2,4,3,8,-17
Joe Johnson\johnsjo02,25:07,3,9,.333,1,2,.500,0,0,,0,1,1,3,2,0,0,0,7,-12
Boris Diaw\diawbo01,18:45,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,4,0,0,-13
Dante Exum\exumda01,25:39,3,6,.500,0,1,.000,4,4,1.000,0,2,2,2,1,0,0,2,10,-5
Derrick Favors\favorde01,22:47,1,8,.125,0,0,,3,4,.750,1,10,11,0,1,0,0,2,5,+4
Joe Ingles\inglejo01,20:27,3,7,.429,2,3,.667,0,0,,1,6,7,3,1,0,1,2,8,+2
Trey Lyles\lylestr01,18:53,3,8,.375,1,4,.250,0,0,,2,3,5,1,0,0,1,3,7,-7
Shelvin Mack\macksh01,13:48,2,5,.400,0,2,.000,0,0,,0,0,0,1,0,0,3,4,4,-9
Joel Bolomboy\bolomjo01,4:08,1,1,1.000,0,0,,1,2,.500,0,1,1,1,1,0,0,0,3,+7
Raul Neto\netora01,4:08,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,+7
Jeff Withey\witheje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,29,73,.397,7,19,.368,10,13,.769,7,36,43,18,8,2,18,22,75,
