,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
JaMychal Green\greenja01,39:15,.583,.583,.500,.000,6.3,12.3,9.3,3.9,2.7,0.0,14.3,8.3,115,103
Mike Conley\conlemi01,37:38,.566,.500,.263,.263,3.3,6.4,4.9,55.9,0.0,0.0,19.1,32.5,114,110
James Ennis\ennisja01,33:57,.353,.350,.500,.300,14.5,28.4,21.5,9.1,0.0,0.0,15.0,18.3,86,105
Marc Gasol\gasolma01,29:01,.601,.571,.429,.429,4.2,37.4,21.0,6.5,1.8,3.0,0.0,26.8,129,97
Jarell Martin\martija01,19:07,.410,.250,.250,.500,6.4,25.2,15.9,0.0,0.0,0.0,29.1,16.8,70,106
Vince Carter\cartevi01,31:49,1.160,1.250,1.000,.667,0.0,7.6,3.8,5.4,1.7,2.7,0.0,11.4,221,104
Andrew Harrison\harrian01,29:33,.483,.438,.500,.375,4.2,0.0,2.1,16.0,0.0,0.0,0.0,14.7,122,111
Zach Randolph\randoza01,25:26,.635,.625,.063,.188,4.8,33.2,19.2,11.5,6.3,0.0,18.8,39.2,100,91
Wade Baldwin\baldwwa01,18:02,.000,.000,.000,.000,0.0,0.0,0.0,30.1,5.9,0.0,0.0,13.0,53,98
Troy Williams\willitr02,0:36,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110
Deyonta Davis\davisde01,0:36,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111
Tony Allen\allento01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Troy Daniels\danietr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.563,.528,.352,.295,25.6,81.8,54.0,61.5,9.0,3.3,12.3,100.0,112.2,103.2
