,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
JaMychal Green\greenja01,39:15,3,6,.500,1,3,.333,0,0,,2,4,6,1,2,0,1,5,7,+13
Mike Conley\conlemi01,37:38,8,19,.421,3,5,.600,5,5,1.000,1,2,3,11,0,0,5,2,24,+10
James Ennis\ennisja01,33:57,3,10,.300,1,5,.200,1,3,.333,4,8,12,2,0,0,2,3,8,+3
Marc Gasol\gasolma01,29:01,6,14,.429,4,6,.667,4,6,.667,1,9,10,1,1,1,0,1,20,+22
Jarell Martin\martija01,19:07,1,4,.250,0,1,.000,2,2,1.000,1,4,5,0,0,0,2,3,4,0
Vince Carter\cartevi01,31:49,5,6,.833,5,6,.833,3,4,.750,0,2,2,1,1,1,0,2,18,+20
Andrew Harrison\harrian01,29:33,3,8,.375,1,4,.250,2,3,.667,1,0,1,3,0,0,0,5,9,-7
Zach Randolph\randoza01,25:26,10,16,.625,0,1,.000,2,3,.667,1,7,8,1,3,0,4,3,22,-7
Wade Baldwin\baldwwa01,18:02,0,5,.000,0,0,,0,0,,0,0,0,4,2,0,0,1,0,-3
Deyonta Davis\davisde01,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Troy Williams\willitr02,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Troy Daniels\danietr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tony Allen\allento01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,39,88,.443,15,31,.484,19,26,.731,11,36,47,24,9,2,14,26,112,
