,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bradley Beal\bealbr01,39:49,5,17,.294,2,8,.250,2,2,1.000,0,3,3,1,2,1,1,2,14,-4
Marcin Gortat\gortama01,37:47,2,3,.667,0,0,,10,10,1.000,1,11,12,1,0,0,0,4,14,-10
John Wall\walljo01,36:46,8,19,.421,1,3,.333,5,5,1.000,0,3,3,13,1,1,5,4,22,+3
Otto Porter\porteot01,36:09,6,15,.400,0,5,.000,1,1,1.000,3,1,4,0,1,0,0,2,13,-7
Markieff Morris\morrima02,35:31,5,8,.625,1,2,.500,0,0,,0,7,7,1,2,1,4,5,11,-1
Andrew Nicholson\nichoan01,24:41,4,9,.444,0,3,.000,0,1,.000,1,2,3,0,2,0,1,4,8,-8
Trey Burke\burketr01,16:14,1,4,.250,0,0,,1,2,.500,0,1,1,1,0,1,0,0,3,-12
Marcus Thornton\thornma01,15:51,4,6,.667,1,2,.500,2,3,.667,2,3,5,1,0,0,0,1,11,-3
Kelly Oubre\oubreke01,14:32,2,4,.500,0,2,.000,1,1,1.000,1,1,2,1,0,0,2,0,5,-4
Jason Smith\smithja02,4:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-1
Tomas Satoransky\satorto01,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Sheldon Mac\mcclesh01,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Daniel Ochefu\ochefda01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,38,86,.442,5,25,.200,22,25,.880,8,32,40,19,8,4,14,23,103,
