,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Rondae Hollis-Jefferson\holliro01,30:12,.143,.143,.000,.000,2.6,7.6,4.6,15.2,0.0,2.6,22.2,11.9,43,123
Jeremy Lin\linje01,23:55,.643,.650,.200,.200,0.0,9.6,3.9,38.3,7.9,0.0,21.6,23.2,106,106
Brook Lopez\lopezbr01,21:48,.528,.455,.091,.273,7.2,0.0,4.3,0.0,0.0,3.6,7.5,24.4,108,125
Bojan Bogdanovic\bogdabo02,20:45,.588,.545,.364,.364,7.6,5.5,6.7,10.8,0.0,0.0,7.3,26.5,119,125
Trevor Booker\booketr01,19:15,.317,.286,.286,.286,8.2,35.6,19.4,0.0,7.4,0.0,11.3,18.4,70,100
Sean Kilpatrick\kilpase01,25:09,.404,.231,.462,.538,0.0,9.1,3.7,0.0,1.9,0.0,5.9,27.1,87,120
Joe Harris\harrijo01,22:50,.533,.563,.625,.125,0.0,10.0,4.1,8.5,2.1,0.0,10.6,16.5,99,119
Isaiah Whitehead\whiteis01,21:09,.273,.273,.182,.000,7.4,10.8,8.8,17.3,0.0,0.0,31.3,30.2,49,124
Justin Hamilton\hamilju01,16:41,.000,.000,.500,.000,9.4,34.3,19.6,0.0,2.8,4.6,0.0,9.6,27,107
Luis Scola\scolalu01,16:02,.400,.400,.200,.000,19.6,28.5,23.3,33.2,3.0,0.0,0.0,12.4,121,112
Anthony Bennett\bennean01,12:00,.444,.357,.714,.286,0.0,9.5,3.9,0.0,4.0,0.0,0.0,26.2,100,115
Chris McCullough\mcculch01,10:14,.000,.000,.500,.000,7.7,22.3,13.7,0.0,0.0,0.0,0.0,7.8,27,120
Greivis Vasquez\vasqugr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.418,.370,.323,.219,26.2,69.0,43.7,42.4,11.9,4.8,12.5,100.0,87.0,116.6
