,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dwyane Wade\wadedw01,28:45,5,13,.385,1,3,.333,1,1,1.000,0,3,3,4,3,1,5,3,12,+11
Jimmy Butler\butleji01,27:17,6,10,.600,2,3,.667,8,9,.889,1,5,6,2,0,0,1,3,22,+24
Rajon Rondo\rondora01,25:27,5,8,.625,0,1,.000,0,0,,1,3,4,4,2,1,3,2,10,+22
Taj Gibson\gibsota01,24:39,7,9,.778,0,0,,0,0,,2,9,11,0,1,1,2,3,14,+23
Robin Lopez\lopezro01,19:25,1,5,.200,0,0,,2,2,1.000,2,3,5,2,0,2,0,1,4,+12
Nikola Mirotic\mirotni01,24:58,6,14,.429,4,10,.400,0,0,,1,9,10,3,0,3,3,1,16,+19
Doug McDermott\mcderdo01,24:10,4,10,.400,0,3,.000,4,4,1.000,0,3,3,3,0,0,1,2,12,+21
Cristiano Felicio\feliccr01,22:33,2,4,.500,0,0,,0,0,,2,5,7,1,0,0,1,3,4,+9
Isaiah Canaan\canaais01,22:01,5,7,.714,3,4,.750,2,2,1.000,1,2,3,6,1,0,0,2,15,+8
Denzel Valentine\valende01,7:01,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,1,0,1,3,+5
Michael Carter-Williams\cartemi01,4:55,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,2,1,0,+2
Bobby Portis\portibo01,4:25,3,4,.750,0,0,,0,0,,2,0,2,0,0,0,1,0,6,-3
Paul Zipser\zipsepa01,4:25,0,1,.000,0,0,,0,0,,1,1,2,1,1,0,0,0,0,-3
Team Totals,240,45,89,.506,11,27,.407,17,18,.944,13,45,58,26,9,9,19,22,118,
