,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jusuf Nurkic\nurkiju01,38:07,5,14,.357,0,0,,3,7,.429,5,13,18,1,1,5,1,2,13,+5
Danilo Gallinari\gallida01,37:05,3,11,.273,2,5,.400,8,8,1.000,1,1,2,1,0,0,0,0,16,-5
Emmanuel Mudiay\mudiaem01,32:55,6,17,.353,1,4,.250,3,4,.750,1,5,6,4,0,1,2,1,16,-9
Will Barton\bartowi01,29:48,5,7,.714,2,2,1.000,4,5,.800,0,4,4,3,0,1,0,0,16,+3
Nikola Jokic\jokicni01,22:22,6,9,.667,0,1,.000,0,0,,2,2,4,1,0,0,4,4,12,-9
Wilson Chandler\chandwi01,31:17,2,7,.286,1,5,.200,4,6,.667,0,3,3,1,0,1,0,4,9,-2
Jameer Nelson\nelsoja01,21:30,5,9,.556,3,4,.750,0,0,,1,1,2,1,1,0,0,4,13,-3
Kenneth Faried\farieke01,15:09,1,3,.333,0,0,,4,4,1.000,1,4,5,0,0,1,0,0,6,+2
Jamal Murray\murraja01,11:47,0,4,.000,0,1,.000,1,1,1.000,0,2,2,2,0,0,1,3,1,+3
Juan Hernangomez\hernaju01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mike Miller\millemi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malik Beasley\beaslma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarnell Stokes\stokeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,81,.407,9,22,.409,27,35,.771,11,35,46,14,2,9,8,18,102,
