,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DeMar DeRozan\derozde01,38:52,.612,.565,.043,.391,5.4,8.6,6.9,5.0,1.4,0.0,3.6,32.6,127,117
Kyle Lowry\lowryky01,35:37,.594,.525,.250,.500,0.0,15.7,7.6,34.3,4.4,0.0,10.9,34.8,118,108
Jonas Valanciunas\valanjo01,30:36,.500,.500,.000,.000,10.2,21.9,15.9,5.0,0.0,2.7,14.3,20.7,99,114
DeMarre Carroll\carrode01,28:31,.625,.625,.625,.000,0.0,7.8,3.8,0.0,0.0,2.9,0.0,12.7,129,118
Pascal Siakam\siakapa01,15:09,.250,.250,.000,.000,6.9,22.1,14.2,0.0,0.0,0.0,0.0,12.0,72,115
Patrick Patterson\pattepa01,32:51,.307,.250,.250,.500,9.5,13.6,11.5,11.1,1.6,12.4,0.0,6.7,113,106
Cory Joseph\josepco01,23:36,.375,.375,.125,.000,4.4,9.5,6.9,23.3,2.2,0.0,11.1,17.3,92,115
Jakob Poeltl\poeltja01,17:24,.129,.000,.000,.667,6.0,25.7,15.5,0.0,0.0,9.4,0.0,10.1,50,107
Terrence Ross\rosste01,14:57,.595,.500,.600,.400,0.0,14.9,7.2,0.0,3.5,0.0,0.0,17.8,129,110
Norman Powell\powelno01,2:27,1.000,1.000,.000,.000,0.0,45.6,22.0,0.0,0.0,0.0,0.0,18.5,200,106
Lucas Nogueira\noguelu01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Fred VanVleet\vanvlfr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bruno Caboclo\cabocbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.530,.489,.182,.284,23.9,74.4,48.3,39.0,7.7,15.3,6.6,100.0,114.9,111.6
