,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Blake Griffin\griffbl01,31:30,.798,.643,.143,2.000,0.0,34.2,19.0,22.5,0.0,2.2,27.5,24.5,124,90
DeAndre Jordan\jordade01,31:19,.752,.800,.000,.600,11.8,25.0,19.2,11.1,1.5,4.4,7.3,18.5,145,88
Chris Paul\paulch01,29:57,.664,.600,.267,.467,0.0,16.4,9.1,47.2,3.0,0.0,10.0,28.6,130,90
J.J. Redick\redicjj01,25:36,.500,.500,.231,.000,0.0,11.5,6.4,6.5,1.8,0.0,13.3,25.0,84,94
Luc Mbah a Moute\mbahalu01,19:58,.291,.333,.333,.333,0.0,4.9,2.7,6.4,2.3,0.0,0.0,7.3,71,95
Jamal Crawford\crawfja01,26:45,.595,.500,.000,.400,0.0,7.3,4.1,17.3,3.4,0.0,7.8,20.3,118,92
Austin Rivers\riverau01,23:40,.444,.444,.000,.000,0.0,0.0,0.0,6.4,0.0,0.0,18.2,19.8,73,101
Raymond Felton\feltora01,18:03,.515,.500,.333,.667,0.0,5.4,3.0,0.0,0.0,3.9,0.0,9.2,103,97
Wesley Johnson\johnswe01,16:30,.500,.500,1.000,.000,0.0,29.7,16.5,0.0,0.0,0.0,0.0,7.7,97,93
Marreese Speights\speigma01,13:06,.515,.333,.500,.667,18.8,22.4,20.8,0.0,3.5,0.0,20.5,31.7,95,87
Diamond Stone\stonedi01,3:35,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.8,0,100
Brandon Bass\bassbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alan Anderson\anderal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.600,.538,.200,.475,12.8,79.6,50.0,52.5,7.6,5.8,14.2,100.0,109.7,92.7
