,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Eric Bledsoe\bledser01,31:58,.381,.357,.071,.286,3.1,27.0,13.7,27.3,0.0,0.0,16.0,23.9,78,113
Brandon Knight\knighbr03,31:25,.610,.538,.308,.308,0.0,0.0,0.0,0.0,0.0,0.0,11.9,21.8,107,116
T.J. Warren\warretj01,28:56,.463,.429,.071,.357,6.8,8.5,7.5,6.6,1.6,0.0,5.8,24.3,96,112
Jared Dudley\dudleja01,19:15,.417,.417,.500,.000,5.1,25.6,14.2,8.3,4.7,0.0,25.0,17.0,71,103
Tyson Chandler\chandty01,18:07,.694,.500,.000,1.000,10.8,34.0,21.1,8.2,0.0,0.0,25.8,8.7,125,112
P.J. Tucker\tuckepj01,26:49,.583,.583,.333,.000,3.7,22.9,12.2,0.0,3.4,0.0,25.0,12.2,86,107
Alex Len\lenal01,24:51,.393,.308,.000,.615,7.9,19.8,13.2,7.1,1.8,0.0,10.8,30.4,81,110
Tyler Ulis\ulisty01,17:57,.340,.200,.200,.400,5.5,6.9,6.1,49.6,5.1,0.0,25.4,17.9,85,105
Marquese Chriss\chrisma01,17:33,.678,.500,.250,1.500,0.0,14.0,6.2,9.3,2.6,0.0,31.1,22.4,97,109
Leandro Barbosa\barbole01,12:32,.900,.900,.400,.000,0.0,19.6,8.7,19.5,3.6,0.0,0.0,16.3,174,106
Dragan Bender\bendedr01,6:52,.000,.000,.000,.000,0.0,17.9,7.9,39.9,6.6,0.0,0.0,5.9,75,100
Alan Williams\willial03,3:45,1.000,1.000,.000,.000,0.0,32.8,14.5,0.0,0.0,0.0,66.7,32.6,43,113
John Jenkins\jenkijo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.502,.446,.179,.369,20.4,87.2,50.0,54.3,10.4,0.0,17.0,100.0,92.7,109.7
