,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Atlanta Hawks*,82,19880,.451,13.0,.691,.331,.117,.092,.151,.309,.501,.616,.349,.394,.429,.341,.542,.054,341,.287,1093,.879,.234,.388,12,0
2,Boston Celtics*,82,19755,.454,14.2,.607,.296,.129,.071,.111,.393,.515,.633,.395,.417,.405,.359,.570,.033,211,.271,1106,.836,.220,.410,20,0
3,Brooklyn Nets,82,19755,.444,13.2,.629,.309,.173,.077,.070,.371,.506,.613,.418,.391,.374,.338,.454,.035,225,.300,1173,.851,.215,.373,21,0
4,Chicago Bulls*,82,19780,.444,12.8,.744,.280,.167,.117,.179,.256,.479,.600,.449,.393,.377,.340,.513,.038,248,.255,1005,.875,.289,.415,9,0
5,Charlotte Hornets,82,19830,.442,13.9,.665,.282,.133,.099,.152,.335,.488,.610,.400,.419,.380,.351,.545,.034,218,.253,1006,.795,.133,.377,15,1
6,Cleveland Cavaliers*,82,19880,.470,14.4,.601,.284,.110,.092,.115,.399,.528,.666,.362,.428,.425,.384,.441,.059,381,.231,944,.829,.293,.412,7,0
7,Dallas Mavericks,82,19780,.440,15.4,.634,.201,.127,.116,.189,.366,.489,.637,.444,.441,.391,.355,.474,.040,237,.167,650,.813,.196,.371,17,0
8,Denver Nuggets,82,19755,.469,12.8,.671,.330,.156,.078,.108,.329,.519,.627,.441,.386,.397,.368,.526,.053,347,.283,1156,.870,.192,.387,19,0
9,Detroit Pistons,82,19805,.449,13.1,.737,.250,.189,.141,.157,.263,.492,.646,.384,.445,.416,.330,.455,.043,283,.212,905,.845,.203,.384,30,1
10,Golden State Warriors*,82,19780,.495,14.1,.641,.303,.102,.107,.129,.359,.557,.690,.408,.430,.469,.383,.656,.075,500,.235,1019,.832,.208,.409,30,1
11,Houston Rockets*,82,19780,.462,14.4,.538,.321,.125,.041,.050,.462,.552,.667,.391,.375,.374,.357,.546,.076,483,.269,1146,.771,.201,.390,14,0
